position,position_bit,rider_name,rider_name_2,time,time_sec,speed,speed_bit,dist_km,date,event,category,location,format,note,bike,season,rider_name_first,rider_name_last,gender,rider_name_abbv
27,1,Andrew Allan,N/A,00:53:28.0,3208,18,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Andrew,Allan,male,Andrew A.
2,1,Jake Marryatt,N/A,00:20:10.0,1210,47.6,1,16,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
2,1,Jake Marryatt,N/A,00:20:10.0,1210,47.6,1,16,2021-02-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:20:10.0,1210,47.6,1,16,2018-03-21T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
1,1,Jake Marryatt,N/A,00:20:11.0,1211,47.6,1,16,2019-02-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Paul Odlin,Ollie Jones,00:20:11.0,1211,47.6,0,16,2013-11-26T00:00:00Z,Tai Tapu - 2up TT,Team TT,Tai Tapu,Two Up TT,Standard course,TT,2013-14 Season,Paul,Odlin,male,Paul O.
2,1,Jake Marryatt,N/A,00:20:14.0,1214,47.4,1,16,2021-02-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:14.0,1214,47.5,1,16,2019-11-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:14.0,1214,47.4,1,16,2019-02-05T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:15.0,1215,47.4,1,16,2019-10-08T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:20:15.0,1215,47.4,1,16,2018-03-13T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
1,1,Ian Talbot,N/A,00:20:18.0,1218,47.3,1,16,2017-10-17T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Ian,Talbot,male,Ian T.
2,1,Jake Marryatt,N/A,00:20:19.0,1218.9999999999998,47.3,1,16,2021-03-30T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:19.0,1218.9999999999998,47.2,1,16,2019-03-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:20:20.0,1219.9999999999998,47.2,1,16,2017-12-28T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
1,1,Sam Horgan,N/A,00:20:22.0,1222,47.2,1,16,2017-11-07T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Sam,Horgan,male,Sam H.
2,1,Jake Marryatt,N/A,00:20:25.0,1225,47,1,16,2017-12-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
1,1,Sam Horgan,N/A,00:20:26.0,1226,47,1,16,2018-11-13T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Sam,Horgan,male,Sam H.
1,1,Paul Odlin,N/A,00:20:26.0,1226,47,1,16,2017-10-24T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Paul,Odlin,male,Paul O.
1,1,Ollie Jones,N/A,00:33:49.0,2029.0000000000002,28.4,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Ollie,Jones,male,Ollie J.
2,1,Jake Marryatt,N/A,00:34:09.0,2049,28.1,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
3,1,Campbell Pithie,N/A,00:36:45.0,2205.0000000000005,26.1,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Campbell,Pithie,male,Campbell P.
4,1,Jonty Harris,N/A,00:39:19.0,2359,24.4,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Jonty,Harris,male,Jonty H.
5,1,Ben Cannon,N/A,00:39:54.0,2394,24.1,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Ben,Cannon,male,Ben C.
6,1,Kris Bowditch,N/A,00:40:26.0,2426,23.7,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Kris,Bowditch,male,Kris B.
7,1,Ben Hillery,N/A,00:41:15.0,2475,23.3,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Ben,Hillery,male,Ben H.
8,1,Alastair Duff,N/A,00:41:16.0,2476,23.3,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Alastair,Duff,male,Alastair D.
9,1,Ryan Taylor,N/A,00:41:30.0,2490,23.1,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Ryan,Taylor,male,Ryan T.
10,1,Blair Barnes-Page,N/A,00:41:46.0,2506,23,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Blair,Barnes-Page,male,Blair B.
11,1,Ashley Dawson,N/A,00:42:20.0,2540,22.7,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Ashley,Dawson,female,Ashley D.
12,1,Nick Emerson,N/A,00:43:03.0,2582.9999999999995,22.3,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Nick,Emerson,male,Nick E.
13,1,David Roche,N/A,00:43:20.0,2600,22.2,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,David,Roche,male,David R.
15,1,Hayden Neame,N/A,00:44:34.0,2674.0000000000005,21.5,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Hayden,Neame,male,Hayden N.
16,1,Gary Ferguson,N/A,00:45:21.0,2721.0000000000005,21.2,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Gary,Ferguson,male,Gary F.
17,1,Andy Airey,N/A,00:46:23.0,2783,20.7,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Andy,Airey,male,Andy A.
18,1,Michael Ferigo,N/A,00:46:29.0,2788.9999999999995,20.7,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Michael,Ferigo,male,Michael F.
19,1,Randall Grenfell,N/A,00:47:52.0,2872.0000000000005,20.1,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Randall,Grenfell,male,Randall G.
20,1,Martin O'Brien,N/A,00:49:34.0,2974,19.4,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Martin,O'Brien,male,Martin O.
21,1,Bill McSweeney,N/A,00:50:07.0,3007,19.2,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Bill,McSweeney,male,Bill M.
22,1,Nicole Wilson,N/A,00:51:30.0,3090,18.6,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Nicole,Wilson,female,Nicole W.
24,1,Graham Clark,N/A,00:51:38.0,3098,18.6,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Graham,Clark,male,Graham C.
25,1,Daniel Paris,N/A,00:51:53.0,3113,18.5,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Daniel,Paris,male,Daniel P.
26,1,Dan Ward,N/A,00:53:24.0,3204.0000000000005,18,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Dan,Ward,male,Dan W.
1,1,Jake Marryatt,N/A,00:20:28.0,1228,46.9,1,16,2020-12-03T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Jake,Marryatt,male,Jake M.
28,1,Sammie Walker,N/A,00:54:13.0,3253,17.7,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Sammie,Walker,female,Sammie W.
29,1,Sharon Prutton,N/A,00:55:13.0,3313.0000000000005,17.4,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Sharon,Prutton,female,Sharon P.
30,1,Emily Bell,N/A,01:02:56.0,3776.0000000000005,15.3,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Emily,Bell,female,Emily B.
31,1,Katherine Reardon,N/A,01:04:03.0,3842.9999999999995,15,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Katherine,Reardon,female,Katherine R.
32,1,Sarah Rutene,N/A,01:05:43.0,3943,14.6,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Sarah,Rutene,female,Sarah R.
23,1,Michael Smithson,N/A,00:51:31.0,3090.9999999999995,18.6,0,16,2021-03-09T00:00:00Z,Gebbies Pass Hill Climb,Solo,Gebbies Pass,TT,Hill Climb,TT,2020-21 Season,Michael,Smithson,male,Michael S.
1,1,Jake Marryatt,N/A,00:20:29.0,1229,46.9,1,16,2019-03-26T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Sian Morgan,N/A,00:12:05.0,725.0000000000001,39.7,1,8,2021-03-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Sian,Morgan,female,Sian M.
1,1,Jake Marryatt,N/A,00:20:30.0,1230,46.8,1,16,2019-11-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
2,1,Warwick Anderson,N/A,00:12:51.0,771,37.4,1,8,2021-03-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Warwick,Anderson,male,Warwick A.
3,1,Pam Hogarth,N/A,00:14:09.0,849.0000000000001,33.9,1,8,2021-03-02T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Pam,Hogarth,female,Pam H.
1,1,Jake Marryatt,N/A,00:20:31.0,1231,46.8,1,16,2018-02-27T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
2,1,Jake Marryatt,N/A,00:20:32.0,1232.0000000000002,46.8,1,16,2018-11-13T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
3,1,Hugo Jones,N/A,00:20:34.0,1234,46.7,1,16,2021-03-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Hugo,Jones,male,Hugo J.
1,1,Jake Marryatt,N/A,00:20:34.0,1234,46.7,1,16,2018-12-18T00:00:00Z,Tai Tapu - 2up TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
2,1,Paul Odlin,N/A,00:20:36.0,1236.0000000000002,46.6,1,16,2017-11-21T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Paul,Odlin,male,Paul O.
1,1,Jake Marryatt,N/A,00:20:37.0,1237.0000000000002,46.6,1,16,2020-01-14T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2019-20 Season,Jake,Marryatt,male,Jake M.
2,1,Jake Marryatt,N/A,00:20:37.0,1237.0000000000002,46.5,1,16,2017-12-28T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
1,1,Jake Marryatt,N/A,00:20:39.0,1238.9999999999998,46.5,1,16,2019-02-12T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2018-19 Season,Jake,Marryatt,male,Jake M.
1,1,Luca Hawtin,N/A,00:13:00.0,780.0000000000001,36.9,1,8,2021-02-23T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2020-21 Season,Luca,Hawtin,male,Luca H.
3,1,Jake Marryatt,N/A,00:20:40.0,1240,46.5,1,16,2017-12-05T00:00:00Z,Tai Tapu TT,Solo,Tai Tapu,TT,Standard course,TT,2017-18 Season,Jake,Marryatt,male,Jake M.
