"","name","gender","proportion_male","proportion_female"
"183","Ezra","male",0.75,0.25
"184","Shane","male",0.89,0.11
"185","Marc","male",0.99,0.01
"186","Ant","male",0.86,0.14
"187","Jae","male",0.87,0.13
"188","Indy","male",0.55,0.45
"189","Rob","male",0.98,0.02
"190","Zack","male",0.98,0.02
"191","Joanne","female",0.02,0.98
"192","Navarh","male",1,0
"193","Morgan","male",0.89,0.11
"194","Bruce","male",0.98,0.02
"195","Ethan","male",0.99,0.01
"196","Deane","male",0.68,0.32
"197","Rhylee",NA,NA,NA
"198","Kiri","male",0.53,0.47
"199","Drew","male",0.95,0.05
"200","Amye","female",0.2,0.8
"201","Beth","female",0.03,0.97
"202","Georgia","female",0.02,0.98
"203","Brooke","female",0.09,0.91
"204","Pete","male",0.98,0.02
"205","Sophie","female",0.02,0.98
"206","Jeannie","female",0.02,0.98
"207","Mikaere","male",1,0
"208","Fleur","female",0.03,0.97
"209","Rachael","female",0.03,0.97
"210","Axel","male",0.98,0.02
"211","Cameron","male",0.92,0.08
"212","Dave","male",0.99,0.01
"213","Jonathon","male",1,0
"214","Annaliisa","female",0,1
"215","Garry","male",0.98,0.02
"216","Kaia","female",0.12,0.88
"217","Joss","male",0.81,0.19
"218","Aichlin",NA,NA,NA
"219","Basil","male",0.97,0.03
"220","Roger","male",0.98,0.02
"221","Greg","male",0.99,0.01
"222","Geetrui",NA,NA,NA
"223","Aaron","male",0.99,0.01
"224","Julia","female",0.03,0.97
"225","Liam","male",0.98,0.02
"226","Holly","female",0.13,0.87
"227","Amanda","female",0.02,0.98
"228","Odie","male",0.67,0.33
"229","Toby","male",0.95,0.05
"230","Adam","male",0.98,0.02
"231","Brodie","male",0.81,0.19
"232","Harrison","male",0.99,0.01
"233","Benny","male",0.92,0.08
"234","Mel","female",0.16,0.84
"235","Marie","female",0.02,0.98
"236","Judy","female",0.05,0.95
"237","Robert","male",0.99,0.01
"238","Ross","male",0.82,0.18
"239","Frank","male",0.99,0.01
"240","Laurence","female",0.04,0.96
"241","Wayne","male",0.98,0.02
"242","Tessa","female",0.02,0.98
"243","Louis","male",0.97,0.03
"244","Kate","female",0.02,0.98
"245","Trish","female",0.05,0.95
"246","Pheobe","female",0,1
"247","Vic","male",0.73,0.27
"248","Sebastian","male",0.99,0.01
"249","Tracy","female",0.08,0.92
"250","Lauren","female",0.1,0.9
