name,gender,proportion_male,proportion_female,confidence
Ezra,male,0.75,0.25,y
Les,male,0.75,0.25,y
Rikki,male,0.75,0.25,y
Fionn,male,0.77,0.23,n
Tayler,male,0.77,0.23,y
Calem,male,0.79,0.21,y
Jo,male,0.79,0.21,n
Lee,male,0.8,0.2,y
Ash,male,0.8,0.2,n
Sam,male,0.81,0.19,n
D'arcy,male,0.81,0.19,y
Joss,male,0.81,0.19,n
Brodie,male,0.81,0.19,y
Ross,male,0.82,0.18,y
JJ,male,0.82,0.18,y
Harley,male,0.83,0.17,y
Dayne,male,0.84,0.16,y
Miles,male,0.85,0.15,y
Nicola,male,0.85,0.15,n
Ant,male,0.86,0.14,y
Campbell,male,0.87,0.13,y
Jae,male,0.87,0.13,n
Al,male,0.87,0.13,y
Nik,male,0.88,0.12,n
Ollie,male,0.89,0.11,y
Berwick,male,0.89,0.11,y
Shane,male,0.89,0.11,y
Morgan,male,0.89,0.11,n
Alex,male,0.9,0.1,y
Chris,male,0.9,0.1,y
Myles,male,0.9,0.1,y
Kane,male,0.9,0.1,y
Lawrie,male,0.9,0.1,y
Jay,male,0.91,0.09,y
Hayden,male,0.91,0.09,y
Reon,male,0.91,0.09,y
Flynn,male,0.91,0.09,y
Pong,male,0.91,0.09,y
Alexis,male,0.91,0.09,n
Joc,male,0.91,0.09,y
Andy,male,0.92,0.08,y
Cameron,male,0.92,0.08,y
Benny,male,0.92,0.08,y
Cor,male,0.92,0.08,y
Jayden,male,0.92,0.08,y
Noel,male,0.93,0.07,n
Santi,male,0.93,0.07,y
Levi,male,0.93,0.07,y
Robin,male,0.93,0.07,n
Yancey,male,0.94,0.06,y
Ray,male,0.94,0.06,y
Evan,male,0.94,0.06,y
Kees,male,0.94,0.06,y
Cody,male,0.94,0.06,y
Ben,male,0.95,0.05,y
Dan,male,0.95,0.05,y
Joe,male,0.95,0.05,y
Andre,male,0.95,0.05,y
Drew,male,0.95,0.05,y
Toby,male,0.95,0.05,y
Richie,male,0.95,0.05,y
Jan,male,0.95,0.05,y
Ali,male,0.95,0.05,y
Macaulay,male,0.95,0.05,y
Ed,male,0.95,0.05,y
Luca,male,0.96,0.04,y
Mitchell,male,0.96,0.04,y
Wolf,male,0.96,0.04,y
Logan,male,0.96,0.04,y
Robbie,male,0.96,0.04,y
Bryn,male,0.96,0.04,y
Bill,male,0.97,0.03,y
Rod,male,0.97,0.03,y
Heath,male,0.97,0.03,y
Keagan,male,0.97,0.03,y
Elliot,male,0.97,0.03,y
Murray,male,0.97,0.03,y
Basil,male,0.97,0.03,y
Louis,male,0.97,0.03,y
Boyd,male,0.97,0.03,y
Rex,male,0.97,0.03,y
Deric,male,0.97,0.03,y
Will,male,0.97,0.03,y
Howie,male,0.97,0.03,y
Jordan,male,0.97,0.03,y
Zak,male,0.97,0.03,y
Anton,male,0.97,0.03,y
Jake,male,0.98,0.02,y
Nick,male,0.98,0.02,y
Martin,male,0.98,0.02,y
Jack,male,0.98,0.02,y
Guy,male,0.98,0.02,y
Max,male,0.98,0.02,y
