Station,Date(NZST),Time(NZST),Pmsl(hPa)
Christchurch Kyle St Ews,20130101,0000,1004.1
Christchurch Kyle St Ews,20130101,0100,1003.3
Christchurch Kyle St Ews,20130101,0200,1002.8
Christchurch Kyle St Ews,20130101,0300,1002.2
Christchurch Kyle St Ews,20130101,0400,1002.4
Christchurch Kyle St Ews,20130101,0500,1002.4
Christchurch Kyle St Ews,20130101,0600,1003.0
Christchurch Kyle St Ews,20130101,0700,1003.3
Christchurch Kyle St Ews,20130101,0800,1003.1
Christchurch Kyle St Ews,20130101,0900,1002.8
Christchurch Kyle St Ews,20130101,1000,1001.7
Christchurch Kyle St Ews,20130101,1100,1001.2
Christchurch Kyle St Ews,20130101,1200,1001.3
Christchurch Kyle St Ews,20130101,1300,1001.1
Christchurch Kyle St Ews,20130101,1400,1001.3
Christchurch Kyle St Ews,20130101,1500,1001.0
Christchurch Kyle St Ews,20130101,1600,1000.5
Christchurch Kyle St Ews,20130101,1700,1000.0
Christchurch Kyle St Ews,20130101,1800,1000.0
Christchurch Kyle St Ews,20130101,1900,999.7
Christchurch Kyle St Ews,20130101,2000,998.7
Christchurch Kyle St Ews,20130101,2100,998.5
Christchurch Kyle St Ews,20130101,2200,998.7
Christchurch Kyle St Ews,20130101,2300,999.4
Christchurch Kyle St Ews,20130102,0000,999.2
Christchurch Kyle St Ews,20130102,0100,997.3
Christchurch Kyle St Ews,20130102,0200,997.1
Christchurch Kyle St Ews,20130102,0300,996.8
Christchurch Kyle St Ews,20130102,0400,996.7
Christchurch Kyle St Ews,20130102,0500,996.7
Christchurch Kyle St Ews,20130102,0600,996.2
Christchurch Kyle St Ews,20130102,0700,996.0
Christchurch Kyle St Ews,20130102,0800,996.2
Christchurch Kyle St Ews,20130102,0900,996.1
Christchurch Kyle St Ews,20130102,1000,995.1
Christchurch Kyle St Ews,20130102,1100,993.8
Christchurch Kyle St Ews,20130102,1200,993.8
Christchurch Kyle St Ews,20130102,1300,994.9
Christchurch Kyle St Ews,20130102,1400,992.8
Christchurch Kyle St Ews,20130102,1500,992.0
Christchurch Kyle St Ews,20130102,1600,991.1
Christchurch Kyle St Ews,20130102,1700,990.0
Christchurch Kyle St Ews,20130102,1800,991.5
Christchurch Kyle St Ews,20130102,1900,989.9
Christchurch Kyle St Ews,20130102,2000,989.1
Christchurch Kyle St Ews,20130102,2100,989.7
Christchurch Kyle St Ews,20130102,2200,988.5
Christchurch Kyle St Ews,20130102,2300,989.0
Christchurch Kyle St Ews,20130103,0000,990.3
Christchurch Kyle St Ews,20130103,0100,993.0
Christchurch Kyle St Ews,20130103,0200,995.8
Christchurch Kyle St Ews,20130103,0300,997.5
Christchurch Kyle St Ews,20130103,0400,999.1
Christchurch Kyle St Ews,20130103,0500,1000.0
Christchurch Kyle St Ews,20130103,0600,1001.5
Christchurch Kyle St Ews,20130103,0700,1002.2
Christchurch Kyle St Ews,20130103,0800,1003.0
Christchurch Kyle St Ews,20130103,0900,1003.3
Christchurch Kyle St Ews,20130103,1000,1003.3
Christchurch Kyle St Ews,20130103,1100,1003.3
Christchurch Kyle St Ews,20130103,1200,1003.7
Christchurch Kyle St Ews,20130103,1300,1003.3
Christchurch Kyle St Ews,20130103,1400,1003.5
Christchurch Kyle St Ews,20130103,1500,1003.3
Christchurch Kyle St Ews,20130103,1600,1003.2
Christchurch Kyle St Ews,20130103,1700,1003.2
Christchurch Kyle St Ews,20130103,1800,1003.1
Christchurch Kyle St Ews,20130103,1900,1003.2
